Strain	LORR
LXS84	30
LXS98	36
LXS49	37
LXS7	46
LXS114	50
LXS97	51
LXS87	54
LXS93	55
LXS101	56
LXS64	56
LXS76	57
LXS123	58
LXS13	58
LXS102	60
LXS34	60
LXS86	62
LXS32	65
LXS42	65
LXS26	67
LXS89	69
LXS22	70
LXS25	71
LXS23	72
LXS8	73
LXS99	74.5
LXS9	75
LXS5	75.5
LXS122	77
LXS28	78
LXS66	78
LXS39	79
LXS50	79
LXS16	79.5
LXS72	79.5
LXS19	80
LXS94	80.5
LXS70	81
LXS43	82
LXS75	83
LXS107	84
LXS48	84
LXS46	85
LXS36	86
LXS96	86
LXS52	89
LXS110	90
LXS115	95
LXS100	98
LXS80	99
LXS103	100
LXS60	106
LXS92	111
LXS90	115
LXS41	117
LXS78	120
LXS3	128
LXS73	133
LXS112	144
LXS24	146
